Date,Close
1/10/2022 16:00:00,1058.12
1/11/2022 16:00:00,1064.4
1/12/2022 16:00:00,1106.22
1/13/2022 16:00:00,1031.56
1/14/2022 16:00:00,1049.61
1/18/2022 16:00:00,1030.51
1/19/2022 16:00:00,995.65
1/20/2022 16:00:00,996.27
1/21/2022 16:00:00,943.9
1/24/2022 16:00:00,930
1/25/2022 16:00:00,918.4
1/26/2022 16:00:00,937.41
1/27/2022 16:00:00,829.1
1/28/2022 16:00:00,846.35
1/31/2022 16:00:00,936.72
2/1/2022 16:00:00,931.25
2/2/2022 16:00:00,905.66
2/3/2022 16:00:00,891.14
2/4/2022 16:00:00,923.32
2/7/2022 16:00:00,907.34
2/8/2022 16:00:00,922